,Brand,Current_price,Discount,Avg_review_outof5,Num_reviews,Product_category,Date_retrieved
,Brand,Current_price,Discount,Avg_review_outof5,Num_reviews,Product_category,Date_retrieved
Smartwool Merino Sport Ultra Light Hoodie - Men's,Smartwool,149.95,0,3,1,clothing,2020-10-17
Levis 541 Athletic Taper Pants - Men's,Levis,89.95,0,0,0,clothing,2020-10-17
Vuori Outdoor Trainer Shell - Men's,Vuori,139.95,0,5,1,clothing,2020-10-17
Black Diamond Notion Pants - Men's,Black Diamond,94.95,51,4.4,27,clothing,2020-10-17
Brooks Distance Short Sleeve T-Shirt - Men's,Brooks,33.95,0,4.4,30,clothing,2020-10-17
Auclair Avalon Ragwool Flip Mitts - Men's,Auclair,34.95,0,3.8,9,clothing,2020-10-17
Arc'teryx Sawyer Gore-Tex Coat - Men's,Arc'teryx,599.95,0,3.8,20,clothing,2020-10-17
Patagonia P-6 Logo Trucker Hat - Men's,Patagonia,31.5,30,3.2,5,clothing,2020-10-17
MEC Below Celsius Insulated Pants - Men's,MEC,189.95,0,2.7,9,clothing,2020-10-17
Cotopaxi Parque Stretch Rain Shell - Men's,Cotopaxi,99.93,50,5,1,clothing,2020-10-17
The North Face Temescal Travel Jacket - Men's,The North Face,79.94,50,0,0,clothing,2020-10-17
Vuori Kore Shorts - Men's,Vuori,84.95,0,5,1,clothing,2020-10-17
Auclair Pacer Run Gloves - Men's,Auclair,29.95,0,1,1,clothing,2020-10-17
MEC Mochilero Stretch Pants - Men's,MEC,36.93,54,3.9,31,clothing,2020-10-17
Arc'teryx Fraser Jacket - Men's,Arc'teryx,549.95,0,4.8,5,clothing,2020-10-17
MEC Stradale Jacket - Men's,MEC,89.93,54,3.9,16,clothing,2020-10-17
Kuhl Radikl Pants - Men's,Kuhl,99.95,0,0,0,clothing,2020-10-17
BN3TH Classic Trunks - Men's,BN3TH,34.95,0,0,0,clothing,2020-10-17
Patagonia Capilene Midweight Zip Neck Top - Men's,Patagonia,85,0,4.8,4,clothing,2020-10-17
Vuori Ponto Shorts - Men's,Vuori,94.95,0,0,0,clothing,2020-10-17
Kombi P1 Liner Glove - Men's,Kombi,19.95,0,0,0,clothing,2020-10-17
Patagonia Live Simply Guitar Responsibili T-Shirt - Men's,Patagonia,45,0,3,2,clothing,2020-10-17
"Prana Ulterior Shorts 9"" Inseam - Men's",Prana,63.97,44,0,0,clothing,2020-10-17
MEC Rad Pants - Men's,MEC,89.95,0,3.9,40,clothing,2020-10-17
